SEQN,sex,age_year,race,education,marital_status,income_pov_rat
109393.0,M,76.0,Non-Hispanic Black,Some college or AA degree,Widowed/Divorced/Separated,0.89
109394.0,F,29.0,Non-Hispanic Black,Some college or AA degree,Never married,0.17
109395.0,M,56.0,Non-Hispanic Black,Some college or AA degree,Married/Living with Partner,3.92
109396.0,F,37.0,Non-Hispanic Asian,College graduate or above,Widowed/Divorced/Separated,2.38
109397.0,F,47.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,2.77
109398.0,F,16.0,Non-Hispanic Asian,,,
109399.0,F,15.0,Non-Hispanic White,,,0.76
109403.0,M,30.0,Other Race - Including Multi-Racial,College graduate or above,Married/Living with Partner,5.0
109404.0,F,23.0,Other Hispanic,College graduate or above,Married/Living with Partner,0.91
109405.0,F,32.0,Mexican American,High school graduate/GED or equivalent,Married/Living with Partner,0.61
109408.0,M,51.0,Non-Hispanic Black,High school graduate/GED or equivalent,Married/Living with Partner,1.63
109409.0,F,8.0,Non-Hispanic Black,,,0.9
109410.0,F,5.0,Mexican American,,,4.14
109411.0,F,55.0,Non-Hispanic Black,College graduate or above,Married/Living with Partner,5.0
109413.0,F,59.0,Non-Hispanic Asian,Some college or AA degree,Married/Living with Partner,
109414.0,F,62.0,Mexican American,High school graduate/GED or equivalent,Married/Living with Partner,0.77
109415.0,F,61.0,Non-Hispanic Black,College graduate or above,Married/Living with Partner,3.69
109416.0,M,60.0,Non-Hispanic White,Less than 9th grade,Widowed/Divorced/Separated,1.54
109417.0,M,17.0,Non-Hispanic Black,,,1.14
109420.0,M,3.0,Non-Hispanic White,,,3.05
109424.0,M,11.0,Non-Hispanic White,,,5.0
109425.0,M,8.0,Non-Hispanic White,,,5.0
109426.0,F,61.0,Non-Hispanic Asian,College graduate or above,Married/Living with Partner,4.72
109427.0,F,11.0,Non-Hispanic White,,,5.0
109428.0,M,80.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,2.37
109429.0,M,27.0,Non-Hispanic White,9-11th grade,Married/Living with Partner,0.81
109431.0,F,45.0,Other Hispanic,Some college or AA degree,Married/Living with Partner,5.0
109432.0,F,44.0,Non-Hispanic Black,College graduate or above,Never married,3.66
109433.0,M,5.0,Other Race - Including Multi-Racial,,,0.94
109434.0,M,15.0,Non-Hispanic Black,,,0.51
109436.0,M,80.0,Non-Hispanic Asian,College graduate or above,Married/Living with Partner,5.0
109437.0,F,80.0,Other Hispanic,Less than 9th grade,Widowed/Divorced/Separated,0.64
109439.0,F,59.0,Non-Hispanic Black,Some college or AA degree,Widowed/Divorced/Separated,1.8
109440.0,M,18.0,Non-Hispanic Black,,,
109441.0,F,20.0,Non-Hispanic White,Some college or AA degree,Never married,0.41
109442.0,M,2.0,Non-Hispanic Black,,,1.53
109444.0,M,21.0,Non-Hispanic Black,High school graduate/GED or equivalent,Never married,1.07
109445.0,M,11.0,Non-Hispanic Black,,,
109446.0,M,12.0,Non-Hispanic White,,,0.85
109450.0,M,29.0,Other Race - Including Multi-Racial,9-11th grade,Married/Living with Partner,0.61
109454.0,F,25.0,Non-Hispanic Black,Some college or AA degree,Never married,0.29
109455.0,M,40.0,Non-Hispanic White,Some college or AA degree,Married/Living with Partner,5.0
109456.0,M,13.0,Mexican American,,,1.38
109457.0,M,76.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,5.0
109458.0,M,18.0,Non-Hispanic Asian,,,0.64
109459.0,M,32.0,Non-Hispanic Asian,Some college or AA degree,Never married,2.66
109464.0,M,30.0,Non-Hispanic Asian,High school graduate/GED or equivalent,Never married,1.43
109465.0,M,17.0,Non-Hispanic White,,,0.28
109466.0,M,40.0,Mexican American,High school graduate/GED or equivalent,Married/Living with Partner,
109467.0,M,21.0,Non-Hispanic White,Some college or AA degree,Never married,5.0
109468.0,M,60.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,1.47
109469.0,M,3.0,Non-Hispanic Black,,,1.49
109471.0,M,14.0,Other Hispanic,,,2.6
109472.0,M,34.0,Mexican American,College graduate or above,Married/Living with Partner,3.52
109473.0,M,19.0,Non-Hispanic White,,,
109474.0,F,80.0,Non-Hispanic White,9-11th grade,Married/Living with Partner,
109475.0,M,9.0,Mexican American,,,1.91
109476.0,F,8.0,Other Race - Including Multi-Racial,,,0.84
109478.0,F,27.0,Non-Hispanic White,Some college or AA degree,Married/Living with Partner,5.0
109479.0,M,17.0,Mexican American,,,0.55
109480.0,M,30.0,Non-Hispanic Black,Some college or AA degree,Never married,1.11
109481.0,M,60.0,Other Hispanic,College graduate or above,Married/Living with Partner,1.39
109482.0,F,48.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,5.0
109483.0,F,76.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,
109484.0,F,3.0,Non-Hispanic Black,,,0.05
109486.0,M,65.0,Other Hispanic,College graduate or above,Married/Living with Partner,5.0
109488.0,M,40.0,Non-Hispanic Black,Some college or AA degree,Married/Living with Partner,1.63
109490.0,M,77.0,Non-Hispanic Black,Less than 9th grade,Married/Living with Partner,
109494.0,F,5.0,Non-Hispanic Asian,,,0.98
109495.0,M,52.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,5.0
109496.0,M,50.0,Non-Hispanic White,Some college or AA degree,Married/Living with Partner,5.0
109497.0,F,48.0,Non-Hispanic Black,High school graduate/GED or equivalent,Never married,1.04
109499.0,F,17.0,Non-Hispanic White,,,5.0
109501.0,M,45.0,Mexican American,College graduate or above,Married/Living with Partner,5.0
109502.0,F,29.0,Mexican American,Some college or AA degree,Married/Living with Partner,2.38
109503.0,M,71.0,Non-Hispanic White,High school graduate/GED or equivalent,Widowed/Divorced/Separated,5.0
109504.0,M,53.0,Non-Hispanic Black,Some college or AA degree,Married/Living with Partner,3.55
109505.0,F,60.0,Non-Hispanic Black,Some college or AA degree,Widowed/Divorced/Separated,2.26
109506.0,M,7.0,Non-Hispanic Asian,,,5.0
109507.0,F,16.0,Other Race - Including Multi-Racial,,,0.33
109508.0,F,39.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,5.0
109509.0,M,2.0,Non-Hispanic Black,,,
109510.0,M,28.0,Non-Hispanic Asian,College graduate or above,Never married,
109511.0,M,13.0,Non-Hispanic Black,,,1.24
109512.0,M,42.0,Non-Hispanic Black,College graduate or above,Married/Living with Partner,5.0
109513.0,F,48.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,5.0
109518.0,F,25.0,Non-Hispanic Asian,College graduate or above,Never married,4.78
109519.0,M,55.0,Non-Hispanic Black,Some college or AA degree,Widowed/Divorced/Separated,1.6
109520.0,M,80.0,Non-Hispanic Black,College graduate or above,Widowed/Divorced/Separated,0.66
109521.0,M,4.0,Non-Hispanic Black,,,0.01
109526.0,F,31.0,Non-Hispanic Black,College graduate or above,Never married,
109527.0,F,69.0,Non-Hispanic Black,College graduate or above,Never married,4.26
109529.0,M,4.0,Non-Hispanic White,,,1.7
109530.0,F,49.0,Mexican American,High school graduate/GED or equivalent,Married/Living with Partner,1.78
109532.0,M,70.0,Non-Hispanic White,Some college or AA degree,Married/Living with Partner,3.9
109536.0,F,48.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,5.0
109538.0,F,66.0,Non-Hispanic White,9-11th grade,Widowed/Divorced/Separated,0.95
109539.0,F,19.0,Non-Hispanic White,,,0.99
109540.0,F,9.0,Non-Hispanic Black,,,0.98
109541.0,F,35.0,Non-Hispanic Black,Some college or AA degree,Never married,1.9
109542.0,F,18.0,Mexican American,,,1.41
109544.0,F,76.0,Non-Hispanic White,Less than 9th grade,Widowed/Divorced/Separated,0.4
109545.0,F,36.0,Non-Hispanic Asian,High school graduate/GED or equivalent,Married/Living with Partner,
109546.0,M,2.0,Non-Hispanic Black,,,1.34
109547.0,F,5.0,Non-Hispanic White,,,1.7
109548.0,F,25.0,Non-Hispanic Black,College graduate or above,Never married,4.61
109549.0,M,22.0,Non-Hispanic White,Some college or AA degree,Never married,3.52
109550.0,F,64.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,1.85
109551.0,M,65.0,Other Race - Including Multi-Racial,Less than 9th grade,,
109552.0,M,74.0,Non-Hispanic White,Some college or AA degree,Widowed/Divorced/Separated,3.48
109554.0,M,21.0,Non-Hispanic Black,High school graduate/GED or equivalent,Never married,0.96
109555.0,F,22.0,Non-Hispanic Asian,Some college or AA degree,Married/Living with Partner,2.4
109556.0,F,15.0,Other Hispanic,,,5.0
109558.0,M,57.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,4.64
109559.0,F,2.0,Non-Hispanic White,,,1.11
109560.0,M,34.0,Mexican American,College graduate or above,Married/Living with Partner,
109562.0,F,80.0,Non-Hispanic White,High school graduate/GED or equivalent,Widowed/Divorced/Separated,2.88
109563.0,F,36.0,Mexican American,Some college or AA degree,Married/Living with Partner,3.04
109564.0,M,19.0,Non-Hispanic White,,,0.5
109565.0,M,80.0,Non-Hispanic White,Some college or AA degree,Widowed/Divorced/Separated,0.91
109566.0,M,11.0,Mexican American,,,0.8
109567.0,M,49.0,Non-Hispanic White,Some college or AA degree,Married/Living with Partner,5.0
109568.0,F,32.0,Non-Hispanic Black,Some college or AA degree,Married/Living with Partner,0.9
109569.0,M,7.0,Non-Hispanic White,,,3.56
109570.0,F,78.0,Non-Hispanic White,High school graduate/GED or equivalent,Widowed/Divorced/Separated,2.6
109571.0,F,28.0,Other Race - Including Multi-Racial,Some college or AA degree,Never married,0.66
109572.0,F,12.0,Non-Hispanic White,,,0.83
109574.0,F,55.0,Non-Hispanic Asian,College graduate or above,Married/Living with Partner,5.0
109575.0,F,5.0,Non-Hispanic White,,,3.52
109576.0,F,11.0,Other Hispanic,,,1.42
109579.0,F,42.0,Non-Hispanic White,Some college or AA degree,Married/Living with Partner,1.06
109580.0,F,39.0,Non-Hispanic Black,9-11th grade,Married/Living with Partner,2.22
109581.0,M,43.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,1.02
109582.0,M,14.0,Non-Hispanic White,,,5.0
109583.0,F,2.0,Mexican American,,,
109584.0,M,9.0,Non-Hispanic White,,,1.49
109585.0,M,20.0,Non-Hispanic Black,9-11th grade,Never married,3.4
109587.0,F,74.0,Non-Hispanic White,9-11th grade,Married/Living with Partner,5.0
109588.0,M,71.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,3.65
109589.0,F,13.0,Non-Hispanic Black,,,2.2
109590.0,M,37.0,Non-Hispanic Black,High school graduate/GED or equivalent,Never married,
109591.0,M,68.0,Mexican American,Less than 9th grade,Married/Living with Partner,0.49
109593.0,M,52.0,Other Race - Including Multi-Racial,Less than 9th grade,Married/Living with Partner,0.58
109594.0,M,79.0,Non-Hispanic White,9-11th grade,Married/Living with Partner,1.23
109595.0,F,5.0,Non-Hispanic White,,,2.59
109596.0,M,4.0,Non-Hispanic Black,,,1.18
109597.0,F,70.0,Other Race - Including Multi-Racial,College graduate or above,Married/Living with Partner,3.68
109598.0,M,25.0,Non-Hispanic White,Some college or AA degree,Never married,4.0
109599.0,F,5.0,Non-Hispanic White,,,5.0
109601.0,M,30.0,Non-Hispanic White,College graduate or above,Never married,
109602.0,F,43.0,Other Hispanic,Less than 9th grade,Never married,
109606.0,F,32.0,Non-Hispanic Black,High school graduate/GED or equivalent,Never married,1.18
109607.0,M,63.0,Mexican American,9-11th grade,Married/Living with Partner,1.94
109608.0,F,54.0,Non-Hispanic White,Some college or AA degree,Married/Living with Partner,5.0
109609.0,F,6.0,Non-Hispanic Black,,,3.31
109610.0,M,78.0,Non-Hispanic Black,Less than 9th grade,Widowed/Divorced/Separated,
109611.0,M,55.0,Non-Hispanic Black,High school graduate/GED or equivalent,Never married,5.397605346934028e-79
109612.0,M,75.0,Non-Hispanic Black,High school graduate/GED or equivalent,Widowed/Divorced/Separated,
109613.0,M,16.0,Non-Hispanic White,,,1.02
109614.0,M,80.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,3.48
109615.0,F,65.0,Non-Hispanic Black,College graduate or above,Never married,5.0
109617.0,M,64.0,Mexican American,Less than 9th grade,Married/Living with Partner,
109618.0,F,4.0,Other Race - Including Multi-Racial,,,5.0
109620.0,F,59.0,Other Hispanic,9-11th grade,Widowed/Divorced/Separated,1.59
109623.0,F,31.0,Non-Hispanic Asian,College graduate or above,Married/Living with Partner,5.0
109625.0,M,10.0,Other Race - Including Multi-Racial,,,1.73
109626.0,M,61.0,Other Hispanic,College graduate or above,Married/Living with Partner,1.18
109628.0,F,39.0,Other Hispanic,9-11th grade,Widowed/Divorced/Separated,0.7
109629.0,M,40.0,Non-Hispanic Black,High school graduate/GED or equivalent,Never married,1.51
109630.0,F,56.0,Non-Hispanic White,High school graduate/GED or equivalent,Widowed/Divorced/Separated,2.16
109632.0,M,17.0,Non-Hispanic White,,,1.81
109634.0,F,62.0,Mexican American,Some college or AA degree,Married/Living with Partner,0.73
109635.0,F,40.0,Mexican American,High school graduate/GED or equivalent,Married/Living with Partner,
109636.0,F,4.0,Non-Hispanic White,,,0.71
109637.0,F,46.0,Non-Hispanic Black,Some college or AA degree,Married/Living with Partner,3.08
109638.0,F,48.0,Non-Hispanic White,9-11th grade,Married/Living with Partner,3.03
109639.0,F,42.0,Non-Hispanic White,Some college or AA degree,Married/Living with Partner,
109640.0,F,50.0,Non-Hispanic Asian,College graduate or above,Married/Living with Partner,4.62
109641.0,M,14.0,Other Race - Including Multi-Racial,,,2.23
109642.0,M,8.0,Non-Hispanic Black,,,0.4
109643.0,F,80.0,Non-Hispanic White,High school graduate/GED or equivalent,Widowed/Divorced/Separated,1.36
109645.0,F,62.0,Other Hispanic,High school graduate/GED or equivalent,Widowed/Divorced/Separated,0.68
109649.0,M,80.0,Non-Hispanic White,Some college or AA degree,Married/Living with Partner,4.16
109654.0,M,18.0,Non-Hispanic Asian,,,
109656.0,F,60.0,Mexican American,Some college or AA degree,Married/Living with Partner,4.25
109657.0,F,33.0,Non-Hispanic White,Some college or AA degree,Married/Living with Partner,5.0
109658.0,M,10.0,Mexican American,,,1.59
109659.0,F,4.0,Mexican American,,,1.14
109661.0,M,23.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,3.37
109662.0,M,32.0,Other Hispanic,9-11th grade,Never married,
109664.0,M,22.0,Non-Hispanic Black,Some college or AA degree,Never married,3.25
109665.0,F,42.0,Non-Hispanic White,9-11th grade,Married/Living with Partner,2.66
109666.0,F,70.0,Non-Hispanic Black,High school graduate/GED or equivalent,Never married,0.83
109667.0,M,64.0,Mexican American,Less than 9th grade,Married/Living with Partner,2.96
109669.0,M,59.0,Non-Hispanic Black,9-11th grade,Never married,0.96
109671.0,M,5.0,Non-Hispanic White,,,3.98
109672.0,M,2.0,Non-Hispanic White,,,5.0
109673.0,M,34.0,Mexican American,High school graduate/GED or equivalent,Widowed/Divorced/Separated,
109674.0,F,4.0,Other Race - Including Multi-Racial,,,0.5
109675.0,F,51.0,Non-Hispanic Asian,College graduate or above,Married/Living with Partner,5.0
109676.0,F,64.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,2.57
109677.0,F,76.0,Other Hispanic,Less than 9th grade,Widowed/Divorced/Separated,4.06
109678.0,F,32.0,Non-Hispanic White,Some college or AA degree,Never married,1.0
109679.0,M,28.0,Other Race - Including Multi-Racial,High school graduate/GED or equivalent,Never married,0.49
109682.0,M,17.0,Other Race - Including Multi-Racial,,,1.47
109684.0,M,9.0,Mexican American,,,1.22
109685.0,M,38.0,Non-Hispanic Asian,College graduate or above,Married/Living with Partner,3.86
109686.0,M,60.0,Non-Hispanic Asian,High school graduate/GED or equivalent,Married/Living with Partner,0.7
109687.0,F,37.0,Non-Hispanic White,Some college or AA degree,Married/Living with Partner,3.21
109688.0,F,4.0,Non-Hispanic White,,,5.0
109689.0,F,14.0,Non-Hispanic Black,,,1.17
109692.0,F,16.0,Non-Hispanic Asian,,,4.81
109693.0,F,25.0,Mexican American,Some college or AA degree,Married/Living with Partner,1.0
109695.0,M,3.0,Other Race - Including Multi-Racial,,,4.08
109697.0,F,35.0,Mexican American,Some college or AA degree,Never married,1.7
109698.0,F,16.0,Non-Hispanic White,,,1.81
109699.0,F,3.0,Non-Hispanic Black,,,0.51
109700.0,F,42.0,Other Hispanic,College graduate or above,Married/Living with Partner,2.65
109702.0,F,15.0,Non-Hispanic Black,,,4.27
109703.0,M,34.0,Non-Hispanic Black,College graduate or above,Married/Living with Partner,2.53
109704.0,M,31.0,Non-Hispanic Asian,Some college or AA degree,Married/Living with Partner,3.55
109705.0,M,38.0,Non-Hispanic Black,High school graduate/GED or equivalent,Never married,0.73
109706.0,M,12.0,Non-Hispanic White,,,1.49
109707.0,F,15.0,Non-Hispanic Asian,,,0.83
109709.0,M,52.0,Mexican American,Some college or AA degree,Widowed/Divorced/Separated,5.0
109710.0,M,12.0,Non-Hispanic White,,,1.83
109711.0,M,25.0,Mexican American,9-11th grade,Married/Living with Partner,1.22
109714.0,M,30.0,Non-Hispanic Asian,Some college or AA degree,Married/Living with Partner,5.0
109716.0,F,25.0,Non-Hispanic Black,9-11th grade,Never married,0.26
109717.0,M,7.0,Non-Hispanic Black,,,0.8
109718.0,F,7.0,Non-Hispanic White,,,2.73
109719.0,F,3.0,Non-Hispanic White,,,5.0
109721.0,M,50.0,Other Hispanic,9-11th grade,Never married,
109723.0,M,29.0,Non-Hispanic Black,College graduate or above,Married/Living with Partner,2.74
109724.0,F,4.0,Non-Hispanic White,,,0.25
109726.0,M,20.0,Non-Hispanic Black,Some college or AA degree,Never married,4.61
109727.0,F,42.0,Non-Hispanic White,High school graduate/GED or equivalent,Never married,
109728.0,F,34.0,Non-Hispanic White,Less than 9th grade,Widowed/Divorced/Separated,0.89
109729.0,F,15.0,Non-Hispanic White,,,1.98
109730.0,F,29.0,Non-Hispanic Black,Some college or AA degree,Never married,0.61
109731.0,F,21.0,Other Hispanic,High school graduate/GED or equivalent,Never married,0.41
109733.0,M,7.0,Non-Hispanic Black,,,2.14
109734.0,M,3.0,Non-Hispanic Black,,,1.54
109738.0,F,2.0,Non-Hispanic Black,,,
109739.0,M,80.0,Non-Hispanic White,Some college or AA degree,Widowed/Divorced/Separated,1.81
109740.0,M,46.0,Non-Hispanic Black,High school graduate/GED or equivalent,Widowed/Divorced/Separated,1.2
109743.0,M,56.0,Non-Hispanic Black,High school graduate/GED or equivalent,Married/Living with Partner,3.18
109744.0,M,8.0,Non-Hispanic Black,,,1.05
109745.0,M,7.0,Non-Hispanic Black,,,1.13
109746.0,M,47.0,Non-Hispanic Black,Some college or AA degree,Married/Living with Partner,3.69
109747.0,F,74.0,Non-Hispanic White,High school graduate/GED or equivalent,Widowed/Divorced/Separated,2.07
109748.0,M,11.0,Other Hispanic,,,0.1
109749.0,F,6.0,Non-Hispanic Black,,,0.86
109750.0,M,16.0,Non-Hispanic White,,,1.67
109751.0,F,10.0,Non-Hispanic White,,,5.0
109752.0,M,14.0,Non-Hispanic Black,,,1.24
109753.0,F,3.0,Non-Hispanic Black,,,0.59
109754.0,F,47.0,Non-Hispanic White,9-11th grade,Married/Living with Partner,2.16
109758.0,M,26.0,Non-Hispanic Black,Some college or AA degree,Married/Living with Partner,
109760.0,M,53.0,Other Hispanic,High school graduate/GED or equivalent,Married/Living with Partner,4.62
109761.0,F,19.0,Non-Hispanic Black,,,5.0
109762.0,M,9.0,Non-Hispanic White,,,5.0
109763.0,M,78.0,Non-Hispanic Black,Less than 9th grade,Married/Living with Partner,0.88
109764.0,M,69.0,Non-Hispanic Asian,College graduate or above,Widowed/Divorced/Separated,2.28
109765.0,F,51.0,Non-Hispanic White,Some college or AA degree,Widowed/Divorced/Separated,0.8
109766.0,F,9.0,Non-Hispanic Black,,,0.52
109768.0,M,32.0,Non-Hispanic White,College graduate or above,Widowed/Divorced/Separated,5.0
109769.0,M,44.0,Non-Hispanic White,High school graduate/GED or equivalent,Widowed/Divorced/Separated,0.94
109770.0,F,47.0,Non-Hispanic Black,College graduate or above,Married/Living with Partner,5.0
109771.0,F,79.0,Non-Hispanic Black,High school graduate/GED or equivalent,Married/Living with Partner,4.56
109773.0,F,16.0,Mexican American,,,1.07
109775.0,M,2.0,Non-Hispanic White,,,0.25
109776.0,F,80.0,Non-Hispanic White,High school graduate/GED or equivalent,Widowed/Divorced/Separated,1.09
109777.0,F,13.0,Non-Hispanic Black,,,1.58
109778.0,F,12.0,Other Race - Including Multi-Racial,,,5.0
109779.0,F,6.0,Non-Hispanic White,,,0.79
109780.0,F,66.0,Non-Hispanic Black,High school graduate/GED or equivalent,Married/Living with Partner,1.08
109781.0,F,16.0,Non-Hispanic Asian,,,1.7
109782.0,F,63.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,3.69
109783.0,M,61.0,Non-Hispanic Black,9-11th grade,Never married,0.58
109784.0,M,4.0,Non-Hispanic White,,,5.0
109785.0,M,48.0,Non-Hispanic Black,Some college or AA degree,Widowed/Divorced/Separated,
109787.0,M,5.0,Non-Hispanic White,,,2.64
